"","eng","fi","z"
"1","Movement task","Liiketehtävä",NA
"2","Accessing accelerometer","Tarkistetaan kiihtyvyysanturia...",NA
"3","In the next page, you will be asked to allow access to your phone's motion sensors. Please, click on 'Allow'.","Seuraavalla sivulla sinua pyydetään hyväksymään puhelimesi liiketunnistimien käyttö. Klikkaa 'Hyväksy'.",NA
"4","In the following tasks, we ask you to perform body movements in different situations<br><img id='dance' src='./images/dance.svg'></img>","Seuraavissa tehtävissä pyydämme sinua tekemään kehon liikkeitä eri tilanteissa",NA
"5","Your body movements will be automatically recorded using the accelerometers of your phone","Kehon liikkeesi tallennetaan automaattisesti puhelimesi kiiht yvyysant ureiden avulla",NA
"6","To move freely, you will be asked to put the phone on your pocket, with the screen facing away from your body: <br><img id='phonePocket' src='./images/phonePocket2.jpeg'></img>","<br><img id='phonePocket' src='./images/phonePocket2.jpeg'></img>",NA
"7","If you are not wearing headphones or earplugs,","Jos sinulla ei ole kuulokkeita,",NA
"8","you may want to increase the volume of your phone before you put it in your pocket<br><img id='increaseVolume' src='./images/increaseVolume.svg'></img>","voit lisätä puhelimesi äänenvoimakkuutta ennen kuin laitat sen taskuusi<br><img id='increaseVolume' src='./images/increaseVolume.svg'></img>",NA
"9","Do not lock the screen of your phone<br><img id='dontLock' src='./images/dontLock.svg'></img>","Älä lukiste puhelimesi nayttöä<br><img id='dontLock' src='./images/dontLock.svg'></img>",NA
"10","Before each task starts, you will hear a voice countdown<br><img id='tableSVG' src='./images/voiceSVG.svg'></img>","Ennen jokaiset tehtävän alkamista kuulet ääneen lärtölaskennan",NA
"11","A voice will also tell you  when the task has ended<br><img id='tableSVG' src='./images/stopSVG.svg'></img>","Ääni myös kertoo kun tehtävä on loppunut<br><img id='tableSVG' src='./images/stopSVG.svg'></img>",NA
"12","For the first task, go to a space where there's room to walk around<br><img id='tableSVG' src='./images/walkSVG.svg'></img>","Ensimmäistä tehtävää varten siirry tilaan, jossa voit kävellä esteettä",NA
"13","We will ask you to walk for 30 seconds, at a speed that feels most natural for you","Kävele kaksi minuuttia ajan nopeudella joka tuntuu sinulle luonnollisimmalta.",NA
"14","When you are ready to begin, click Next","Kun olet valmis aloittamaan, paina Seuraava",NA
"15","Put your phone in your pocket<br><img id='pocket' src='./images/pocket.svg'></img>","Laita nyt puhelin taskuusi<br><img id='pocket' src='./images/pocket.svg'></img>",NA
"16","In the next task, you will hear a constant beat<br><img id='ear' src='./images/ear.svg'></img>","Seuraavassa tehtävässä kuulet tasaisen sykkeen<br><img id='ear' src='./images/ear.svg'></img>",NA
"17","Your task is to bounce along to the beat","Tehtävänäsi on liikuttaa kehoasi ponnahdellen ylös ja alas laulun tahidssa",NA
"18","This is an example of bouncing<br><video id=""myVideo"" width=""100%"" controls><source src=""./songs/movementTapAudio/instructionsAudio/bouncing.mp4"" type=""video/mp4""></video>","Tässä on esimerkki ponnarhtelustaa<br><video id=""myVideo"" width=""100%"" controls><source src=""./songs/movementTapAudio/instructionsAudio/bouncing.mp4"" type=""video/mp4""></video>",NA
"19","When bouncing, stay in place and do not perform other body movements","Ponnahdellessasi pysy samassa paikassa ja älä tee muita kehon liikkeit",NA
"20","When you are ready to begin, click Next","Kun olet valmis aloittamaan, paina Seuraava",NA
"21","Now you are asked to move to a musical piece in a way that feels natural to you<br><img id='dance' src='./images/dance.svg'></img>","Nyt sinua pyydetään liikkumaan itsellesi luonnollisella tavalla eri kappaleisiin<br><img id='dance' src='./images/dance.svg'></img>",NA
"22","Feel free to dance to the music if you want to","Jos haluat niin voit tanssia vapaasti laulun mukana",NA
"23","Next we we ask you to choose a song that you would like to dance to","Seuravaaksi, pyydämme sinua valitsemaan laulun, jonka tahtiin haluat liikkua",NA
"24","Move to the song in a way that feels natural to you<br><img id='dance' src='./images/dance.svg'></img>","Liiku kappaleen tahdissa tavalla, joka tuntuu luonnolliselta sinulle<br><img id='dance' src='./images/dance.svg'></img>",NA
"25","Feel free to dance to the music if you want to<br><img id='dance' src='./images/dance.svg'></img>","Tanssi musiikin tahdissa, jos siltä tuntuu<br><img id='dance' src='./images/dance.svg'></img>",NA
"26","You can choose among 6 song alternatives","Voit valita laulun 6 vaihtoehdosta",NA
"27","Press the buttons to hear an excerpt of the song","Klikkaa painiketta kuvaa kuullaksesi näytteen laulusta",NA
"28","When you have made your selection, scroll down to the bottom and press Next","Kun olet valinnut laulun, rullaa ruudun alaosaan ja paina Seuraava",NA
"29","Choose a song below and click Next when you have made your choice","Valitse kappale alapuolelta ja paina seuraava, kun olet tehnyt valintasi",NA
"30","How familiar are you with this music style?","Kuinka tuttu tämä musiikkityyli on sinulle?",NA
"31","Not at all","Ei ollenkaan",NA
"32","Very much","Erittäin",NA
"33","How much did you like the song","Kuinka paljon pidit laulusta",NA
"34","How much did the song make you want to move","Kuinka paljon laulu sai sinut haluamaan liikkua",NA
"35","Not at all","En lainkaan",NA
"36","A lot","Paljon",NA
"37","How much did you like this beat?","Kuinka paljon pidit tästä rytmistä?",NA
"38","How much did the beat make you want to move?","Kuinka paljon rytmi sai sinut haluamaan liikkua?",NA
"39","Have you heard this song before?","Oletko kuullut tämän kappaleen aiemmin?",NA
"40","Where did you leave your phone during the tasks?","Minne jätit puhelimesi tehtävien ajaksi?",NA
"41","Pocket","Tasku",NA
"42","Purse","Laukku",NA
"43","Hand","Käsi",NA
"44","Other","Muu",NA
"45",NA,NA,"Task ended"
"46",NA,NA,"Task ended"
"47","In this task, we will ask you to place your phone on a table, and tap on a button on the screen using the index finger of your preferred hand<br><img id='tableSVG' src='./images/tappingSVG.svg'></img>","Tässä tehtävässä pyydämme sinua naputtamaan ruudulla näkyvää painiketta paremman kätesi etusormellä",NA
"48","Tap on the button at a speed that feels natural to you","Naputa painiketta nopeudella joka tuntuu luontevalta",NA
"49","Try to keep the tapping speed as constant as possible","Yritä pitää nopeus mahdollisimman tasaisena",NA
"50","In the next task, you will hear a constant beat<br><img id='ear' src='./images/ear.svg'></img>","Seuraavassa tehtävässä kuulet tasaisen sykkeen",NA
"51","Your task is to tap in synchrony to the beat","Naputa tahdissa sykkeen mukana",NA
"52","This is an example: <br><video id=""myVideo"" width=""100%"" controls><source src=""./songs/movementTapAudio/exampleTapping/metronome2.mp4"" type=""video/mp4""></video>","Tässä on esimerkki: <br><video id=""myVideo"" width=""100%"" controls><source src=""./songs/movementTapAudio/exampleTapping/metronome2.mp4"" type=""video/mp4""></video>",NA
"53","In the next task, you will hear a rhythmic pattern<br><img id='tableSVG' src='./images/table.svg'></img>","Seuraavassa tehtävässä kuulet rytmikuivon<br><img id='tableSVG' src='./images/table.svg'></img>",NA
"54","Your task is to tap in synchrony to the beat of the rhythmic pattern<br><img id='tableSVG' src='./images/tappingSVG.svg'></img>","Naputa tahdissa rytmikuivon sykkeen mukana<br><img id='tableSVG' src='./images/tappingSVG.svg'></img>",NA
"55","This is an example: <br><video id=""myVideo"" width=""100%"" controls><source src=""./songs/movementTapAudio/exampleTapping/hemiole.mp4"" type=""video/mp4""></video>","Tässä on esimerkki: <br><video id=""myVideo"" width=""100%"" controls><source src=""./songs/movementTapAudio/exampleTapping/hemiole.mp4"" type=""video/mp4""></video>",NA
"56","In the next task you will hear a musical piece<br><img id='ear' src='./images/ear.svg'></img>","Suraavassa tehtävässä kuulet mmusiikkikappaleen<br><img id='ear' src='./images/ear.svg'></img>",NA
"57","Your task is to tap in synchrony to the beat of the music","Naputa tahdissa musiikin sykkeen mukana",NA
"58","Tap here","Napauta tästä",NA
"59","Tapping task","Naputustehtävä",NA
"60",NA,NA,"Next"
"61",NA,NA,"Previous"
"62",NA,NA,"Seuraava"
"63",NA,NA,"Edellinen"
"64","Welcome MMBB battery","Tervetuloa MMBB-patteriin",NA
"65","Welcome!","Tervetuloa!",NA
"66","When you are ready to begin, click Next","Kun olet valmis aloittamaan, paina Seuraava",NA
"67","End of the task","Tehtävä on päättynyt",NA
"68","End of task 2","Tehtävä 2 on päättynyt",NA
"69","End of task 3","Tehtävä 3 on päättynyt",NA
"70","Loading","Ladataan",NA
"71","Continue","Jatka",NA
"72","When you are ready to continue, click Next","Kun olet valmis jatkamaan, paina Seuraava",NA
"73","How easy was this task for you?","kuinka helppoa tämä tehtävä oli sinulle?",NA
"74","Very easy","Todella helppoja",NA
"75","Very hard","Todella haastavia",NA
"76","For this task you will need the following items:","Tätä tehtävää varten tarvitset seuraavat esineet:",NA
"77","A pocket or a purse<br><img id='pocket' src='./images/pocket.svg'></img>","Taskun tai käsilaukun<br><img id='pocket' src='./images/pocket.svg'></img>",NA
"78","Please, use either wired headphones/earplugs or the phone's loudspeaker. Do not use bluetooth hearing-devices.<br> <img id='noBluetooth' src='./images/noBluetooth.svg'></img>","Käytä joko langallisia kuulokkeita tai puhelimen kaiutinta. Älä käytä Bluetooth-laitteita.",NA
"79","To ensure the correct functioning of the experiment, it is required that you disable the automatic lock of your phone screen. Tap Next to see instructions.","Jotta koe onnistuu, sinun on poistettava puhelimen näytön automaattinen lukitus. Näet ohjeet napauttamalla Seuraava.",NA
"80","On <b>iPhone</b>:","<b>iPhonin</b> päällä",NA
"81","Settings <br> <img id='instructionLock' src='./images/instructions/iosInstruction0.png'></img>","Asetukset <br> <img id='instructionLock' src='./images/instructions/iosInstruction0.png'></img>",NA
"82","Display & brightness <br> <img id='instructionLock' src='./images/instructions/iosInstruction1.png'></img>","Näyttö & kirkkaus <br> <img id='instructionLock' src='./images/instructions/iosInstruction1.png'></img>",NA
"83","Auto-lock > Never <br> <img id='instructionLock' src='./images/instructions/iosInstruction2.png'></img>","Automaattinen lukitus > Ei koskaan <br> <img id='instructionLock' src='./images/instructions/iosInstruction2.png'></img>",NA
"84","You can re-enable this setting once the experiment has ended.","Voit ottaa tämän asetuksen uudelleen käyttöön, kun kokeilu on päättynyt.",NA
"85","To ensure the correct functioning of the experiment, it is required that you disable the automatic lock of your phone screen. Tap Next to see instructions.","Jotta koe onnistuu, sinun on poistettava puhelimen näytön automaattinen lukitus. Näet ohjeet napauttamalla Seuraava.",NA
"86","On <b>Android</b>:","<b>Androiding</b> päällä",NA
"87","Settings <br> <img id='instructionLock' src='./images/instructions/androidInstructions0.png'></img>","Astetukset <br> <img id='instructionLock' src='./images/instructions/androidInstructions0.png'></img>",NA
"88","Display <br> <img id='instructionLock' src='./images/instructions/androidInstructions1.png'></img>","Näyttö & kirkkaus <br> <img id='instructionLock' src='./images/instructions/androidInstructions1.png'></img>",NA
"89","Screen timeout > 30/15 minutes <br> <img id='instructionLock' src='./images/instructions/androidInstructions2.png'></img>","Näytön lukitus > 30/15 minuuttia <br> <img id='instructionLock' src='./images/instructions/androidInstructions2.png'></img>",NA
"90","You can re-enable this setting once the experiment has ended.","Voit ottaa tämän asetuksen uudelleen käyttöön, kun kokeilu on päättynyt.",NA
"91","Not at all","En lainkaan",NA
"92","Very much","Erittäin",NA
"93","For this task you will need the following items:","Tätä tehtävää varten tarvitset seuraavat esineet:",NA
"94","A flat surface where you can lay down your phone<br><img id='tableSVG' src='./images/table.svg'></img>","Tasainen pinta, jolle voit laskea puhelimen<br><img id='tableSVG' src='./images/table.svg'></img>",NA
"95","Please, use either wired headphones/earplugs or the phone's loudspeaker. Do not use bluetooth hearing-devices.<br> <img id='noBluetooth' src='./images/noBluetooth.svg'></img>","Käytä joko langallisia kuulokkeita tai puhelimen kaiutinta. Älä käytä Bluetooth-laitteita.",NA
"96","You can take breaks between each task","Voit pitää tauon jokaisen tehtävän välillä",NA
"97","In this task, you will hear a song which has a click track on top of it<br><img id='music' src='./images/music.svg'></img>","Tässä tehtävässä kuulet laulun jonka päällä on kilikkiraita<br><img id='music' src='./images/music.svg'></img>",NA
"98","The click track sounds like this:<br><br><audio autoplay controls><source src=""./songs/beatProductionAudio/beatModified/training/metronome_0.mp3"" type=""audio/mp3""></audio>","Kilikkiraita kuulostaa tältä: <br><br><audio autoplay controls><source src=""./songs/beatProductionAudio/beatModified/training/metronome_0.mp3"" type=""audio/mp3""></audio>",NA
"99","The beat of the song and the click track may or may not be aligned with each other","Laulu ja kilikkiraita ovat joko samassa tahdissa tai eri tahdissa",NA
"100","Next, some examples","Seuravassa pari esimerkki",NA
"101","Not aligned: <br><br><audio autoplay controls><source src=""./songs/beatProductionAudio/beatModified/baseSongs/example/notAligned.mp3"" type=""audio/mp3""></audio>","Eri tahdissa: <br><br><audio autoplay controls><source src=""./songs/beatProductionAudio/beatModified/baseSongs/example/notAligned.mp3"" type=""audio/mp3""></audio>",NA
"102","Aligned: <br><br><audio autoplay controls><source src=""./songs/beatProductionAudio/beatModified/baseSongs/example/aligned.mp3"" type=""audio/mp3""></audio>","Samassa tahdissa: <br><br><audio autoplay controls><source src=""./songs/beatProductionAudio/beatModified/baseSongs/example/aligned.mp3"" type=""audio/mp3""></audio>",NA
"103","Your task is to find the best alignment between the click and the song","Tehtäväsi on löytää paras kohdistus metronomin iskun ja kappaleen väliltä",NA
"104","By clicking these buttons, you will be able to align the song and the click in a few different ways:<br><img id='music' src='./images/exampleBAT.png'></img>","<br><img id='music' src='./images/exampleBAT.png'></img>",NA
"105","Let's start with a practice trial","Aloitetaan harjoit telutehtävällä",NA
"106","Your task is to click through the buttons until you find the best aligment between the song and the click. Once you find it, click Continue","Tehtäväsi on koskettaa ja kokeilla eri painikkeita, kunnes löydät parhaan kohdistuksen kappaleen ja metronomin iskun väliltä. Kun löydät sen, paina Jatka",NA
"107","Each trial has a time-limit, so try to find the best alignment as quickly as you can","Jokaisella kokeilulla on aikaraja, joten yritä löytää paras ajoitus mahdollisimman nopeasti",NA
"108","Ok, let's continue with the task","Selvä, jatketaan varsinaisellä tehtävällä",NA
"109","Next you will hear 6 songs. Align the click track with the beat of the song","Seuravaaksi kuulet 6 laulua. Säädää kilikkiraita laulun tahtiin",NA
"110","Adjust the beat<br>","Säädää tahtia<br>",NA
"111","Beat alignment task","Tahdin kohdistustehtävä",NA
"112","How satisfied were you with the alignment that you found between this song and the click?","Kuinka tyytyväinen olit tämän kappaleen ja metronomin iskun väliseen linjaukseen?",NA
"113","Can you hear this song?<br>If so, adjust the volume to a comfortable hearing level and click Continue.<br><img id='tableSVG' src='./images/soundSVG.svg'><br>If you cannot hear the song, try changing to a different computer/phone or to a different internet browser.","Kuunletko tämän kappaleen?<br>Jos kuulet, säädä äänenvoimakkuutta miellyttävälle kuulotasolle ja napauta Jatka.<br><img id='tableSVG' src='./images/soundSVG.svg'> <br>Jos et kuule kappaletta, yritä vaihtaa toiseen tietokoneeseen/puhelimeen tai toiseen internetselaimeen.",NA
"114","Yes","Kyllä",NA
"115","No","Ei",NA
"116","Is someone helping you to complete this task?","Auttaako joku sinua tämän tehtävän suorittamisessa?",NA
